str,en,he,ar
Forceps,Forceps,מלקחיים,
Pre Scheduled C-section,Pre Scheduled C-section,קיסרי מוזמן,
Emergency C-section,Emergency C-section,קיסרי דחוף,
Full,Full,מלאה,
FullM,FullM,מלא,
Partial,Partial,חלקית,
No breast feeding,No breast feeding,ללא הנקה,
Did you breast feed at night?,Did you breast feed at night?,האם הנקת בלילה?,
Weight,Weight,משקל,
Afgar,Afgar,אפגר,
What can we help with?,What can we help with?,סיבת הפנייה,
'Baby doesnt latch,'Baby doesnt latch,ביסוס הנקה (קושי בחיבור לשד),
Pains while breast feeding,Pains while breast feeding,כאבים בהנקה,
Baby is loosing weight,Baby is loosing weight,שביתת הנקה,
Incompatible milk production,Incompatible milk production,הגברת תפוקת חלב,
Please describe the problem,Please describe the problem,תארי את הבעייה,
Adding solid food,Adding solid food,שילוב מוצקים,
Back to work,Back to work,חזרה לעבודה,
Tween breast feeding,Tween breast feeding,הנקת תאומים,
Continue,Continue,המשך,
Breastfeeding Questionnaire,Breastfeeding Questionnaire,שאלון הנקה,
Finish,Finish,סיימנו,
We're almost done,We're almost done,כמעט וסיימנו.. ,
The baby,The baby,התינוק,
Welcome To Menikot,Welcome To Menikot,ברוכה הבאה למניקות,
The App that will help you manage your breast feeding,The App that will help you manage your breast feeding,האפליקציה שתעזור לך לעקוב אחר ההנקות שלך,
"We will ask you to fill out a short form,","We will ask you to fill out a short form,",נבקש למלא שאלון קצר,
And then we'll walk the path together,And then we'll walk the path together,ולאחריו נלווה אותך לאורך הדרך,
Good Luck,Good Luck,"המון הצלחה, צוות מניקות",
Please Select,Please Select,נא לבחור,
Lets Go!,Lets Go!,קדימה!,
Today,Today,היום,
Sunday,Sunday,ראשון,
Monday,Monday,שני,
Tuesday,Tuesday,שלישי,
Wednesday,Wednesday,רביעי,
Thursday,Thursday,חמישי,
Firday,Firday,שישי,
Saturday,Saturday,שבת,
Have you nursed before?,Have you nursed before?,האם הנקת בעבר?,
How many month?,How many month?,כמה חודשים?,
Was milk production normal?,Was milk production normal?,האם תפוקת החלב הייתה תקינה?,
Did your breast grow during pregnancy?,Did your breast grow during pregnancy?,השד גדל במהלך ההריון,
Antibiotics,Antibiotics,אנטיביוטיקה,
Pumping,Pumping,שאיבה,
With cabbage,With cabbage,עם כרוב,
Was your breast full  during the third day?,Was your breast full  during the third day?,האם הייתה מלאות בשד במהלך היום השלישי?,
Did breast had Godesh?,Did breast had Godesh?,האם היה גודש?,
Do you pump?,Do you pump?,האם קיימת שאיבה?,
Frequency,Frequency,תדירות,
Any breast surgery?,Any breast surgery?,ניתוחי שד,
Enlarge,Enlarge,הגדלה,
Smaller,Smaller,הקטנה,
Bapatery surgery,Bapatery surgery,נתוח קיצור קיבה בריאטרי,
First period age,First period age,גיל וסת ראשונה,
Did you get your period after the birth?,Did you get your period after the birth?,האם חזרה הוסת לאחר הלידה?,
Alergies,Alergies,אלרגיות,
Thairo,Thairo,בלוטת התריס,
Anemy,Anemy,אנמיה,
Polycystic ovary,Polycystic ovary,שחלות פוליציסטיות,
Eating disorder,Eating disorder,הפרעת אכילה,
Background illnesses,Background illnesses,מחלות רקע,
General Info,General Info,מידע כללי,
Mother,Mother,אמא,
Did you nurse or extracted milk during 2 first hours,Did you nurse or extracted milk during 2 first hours,האם הייתה הנקה או פינוי חלב באמצעות סחיטה בשעתיים הראשונות?,
Pregnancy,Pregnancy,הריון,
When was the first nursing?,When was the first nursing?,מתי הייתה ההנקה הראשונה?,
After Birth,After Birth,לאחר הלידה,
Email,Email,אי מייל,
Your expectations from the consultency / what would be considred a success,Your expectations from the consultency / what would be considred a success,הציפיות שלך מהמפגש ומה יחשב בעינייך הצלחה,
Expectations,Expectations,ציפיות,
Weight At birth,Weight At birth,משקל בלידה,
Using artificial nipple,Using artificial nipple,שימוש בפיטמה מלאכותית,
Nipple,Nipple,פיטמה,
pacifier,pacifier,מוצץ,
Bottle,Bottle,בקבוק,
Silicon Nipple,Silicon Nipple,פיטמת סיליקון,
Mouth Structure,Mouth Structure,מבנה פה,
Asymmetric,Asymmetric,אסימטרי,
Back small Roter,Back small Roter,סנטר קטן אחורי,
Tall Palate,Tall Palate,חך גבוה,
Tongue tied,Tongue tied,לשון קשורה,
Weak vacum,Weak vacum,ואקום חלש,
Strong tone,Strong tone,טונוס חזק,
Small mouth opening,Small mouth opening,פתיחת פה קטנה,
General observation,General observation,הסתכלות כללית,
Torticollis,Torticollis,טורטיקוליס,
Jaundice,Jaundice,צהבת,
Hypotonomy,Hypotonomy,היפוטונומיה,
Hypertonomy,Hypertonomy,היפרטונומיה,
Sleepingness,Sleepingness,ישנוניות,
Required Field,Required Field,,
Please Insert a number,Please Insert a number,נא הכנס מספר,
is not correct,is not correct,לא תקין,
Baby doesnt latch,Baby doesnt latch,קושי בחיבור לשד,
First Baby Appraisal,First Baby Appraisal,אומדן תינוק,
Nursing Appraisal,Nursing Appraisal,אומדן הנקה,
Machine type,Machine type,סוג המשאבה,
Gadoosh,Gadoosh,גודש,
Edematic,Edematic,,
Fitted milk production,Fitted milk production,כמות חלב מתאימה לשלב ההנקה,
Soft,Soft,רך,
Breast,Breast,שד,
White,White,לבן,
WhiteF,WhiteF,לבנה,
Squashed,Squashed,מעוכה,
After breast feeding:,After breast feeding:,לאחר הנקה,
Nipple is woonded,Nipple is woonded,פיטמה פצועה,
Nipple Shape,Nipple Shape,צורת פיטמה,
Hypoplastic,Hypoplastic,היפופלסטי,
Very Big,Very Big,גדול מאד,
Preferred Position,Preferred Position,תנוחה מועדפת,
Nursing by prelemenary signs,Nursing by prelemenary signs,הנקה לפי סימנים מוקדמים,
Signs for milk consumption,Signs for milk consumption,סימנים למעבר חלב,
"(Urine and poo, swallawing sound, jow movement, soft breast after nursing, Calm baby after feeding)","(Urine and poo, swallawing sound, jow movement, soft breast after nursing, Calm baby after feeding)","(שתן ויציאות, קולות בליעה, תנועות לסת, שד רך לאחר הנקה, תינוק רגוע לאחר הנקה)",
Effective brest feeding,Effective brest feeding,הנקה יעילה,
Number of feedings per day,Number of feedings per day,מספר ארוחות ביום,
Nursing in both sides,Nursing in both sides,פינוי חלב משני הצצדים,
Adding food supplements,Adding food supplements,האם ניתנת תוספת,
Amount,Amount,כמות,
Are you a lactation consultant?,Are you a lactation consultant?,האם את יועצת הנקה?,
Yes,Yes,כן,
No,No,לא,
Ordinary,Ordinary,רגילה,
,,,
Do you take birth control pills?,Do you take birth control pills?,האם את נוטלת גלולות כרגע?,
Baby/'s Name,Baby/'s Name,שם התינוק/ת,
A year,A year,שנה,
years,years,שנים,
a month,a month,חודש,
days,days,ימים,
month,month,חודשים,
and ,and ,ו,
Wide gap,Wide gap,מרווח גדול,
Search Client,Search Client,חיפוש לקוחה,
Resend Invite,Resend Invite,שליחת הזמנה,
Feeding Log,Feeding Log,,
Meetings Log,Meetings Log,,
Growth Chart,Growth Chart,,
Welcome Form,Welcome Form,,
First Appraisal,First Appraisal,,
Diabetes,Diabetes,סכרת,
Treatment,Treatment,טיפול,
Patient Appraisal,Patient Appraisal,אומדנים,
Breast Appraisal,Breast Appraisal,אומדן שד,
Add new Client,Add new Client,לקוחה חדשה,
New Meeting,New Meeting,פגישה חדשה,
Boy,Boy,בן,
Girl,Girl,בת,
Search,Search,חיפוש,
Gender,Gender,מגדר,
Meeting Summery,Meeting Summary,,
Close,Close,,
Save and Share,Save and Share,,
Save and Exit,Save and Exit,,
Videos,Videos,,
Title,Title,,
Summery,Summery,סיכום,
Start typing video name,Start typing video name,,
Appraisal,Appraisal,הערכה,
L,L,L,
R,R,R,
Add,Add,הוספה,
Avarages,Avarages,ממוצע,
Date,Date,תאריך,
Weekly,Weekly,שבועי,
Daily,Daily,יומי,
Cancel,Cancel,ביטול,
Are you sure?,Are you sure?,האם את.ה בטוח.ה ?,
Share with Whatsapp,Share with Whatsapp,שיתוף בווטסאפ,
Share by Email,Share by Email,שיתוף באי מייל,
Share,Share,שיתוף,
Invitation to join Menikot,Invitation to join Menikot,הזמנה להצטרף לאפליקציית מניקות,
Share with SMS,Share with SMS,שיתוף דרך SMS,
